name,level,school,concentration,casting_time,duration,save_type,damage_dice,healing_dice,effect_dice,targets,aoe_size,conditions,buffs,effect
Acid Splash,0,Evocation,No,1 action,Instantaneous,Dexterity,1d6 Acid; 1d6; 2d6; 3d6; 4d6,,,AoE (Sphere),5-foot-radius Sphere,,,Conjure/Create
Aid,2,Abjuration,No,1 action,8 hours,,,,,Multi-target,,,Max HP increase,Healing
Alarm,1,Abjuration,No,1 minute,8 hours,,,,,AoE (Cube),20-foot Cube,,,
Alter Self,2,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,1d6,,,Self,,,,
Alustriel's Mooncloak,5,Abjuration,Yes,1 action,"Concentration, 1 minute",,,4d10,,AoE (Emanation),20-foot emanation,Frightened; Grappled; Restrained,,Healing
Animal Friendship,1,Enchantment,No,1 action,24 hours,Wisdom,,,,Single target,,Charmed,,
Animal Messenger,2,Enchantment,No,1 action,Special,Charisma,,,,Single target,,,,Flight
Animal Shapes,8,Transmutation,No,1 action,24 hours,,,,,Single target,,,Temp HP,
Animate Dead,3,Necromancy,No,1 minute,Instantaneous,,,,,Multi-target,,,,
Animate Objects,5,Transmutation,Yes,1 action,"Concentration, up to 1 minute",,,,,All creatures in area,,,,
Antilife Shell,5,Abjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,AoE (Emanation),10-foot Emanation,,,
Antimagic Field,8,Abjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,AoE (Emanation),10-foot Emanation,,,Teleport
Antipathy/Sympathy,8,Enchantment,No,1 hour,10 days,Wisdom,,,,Single target,,Charmed; Frightened,,
Arcane Eye,4,Divination,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,Invisible,,Invisibility; Divination/Scrying
Arcane Gate,6,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,,,Teleport
Arcane Lock,2,Abjuration,No,1 action,Until dispelled,,,,,Single target,,,,
Arcane Vigor,2,Abjuration,No,1 bonus action,Instantaneous,,,,,Self,,,,Healing
Armor of Agathys,1,Abjuration,No,1 bonus action,1 hour,,,,,Self,,,Temp HP,
Arms of Hadar,1,Conjuration,No,1 action,Instantaneous,Strength,2d6 Necrotic,,,AoE (Emanation),10-foot Emanation,,,
Astral Projection,9,Necromancy,No,1 hour,Until dispelled,,,,,Single target,,Unconscious,,
Augury,2,Divination,No,1 minute,Instantaneous,,,,,Self,,,,Divination/Scrying
Aundair's Silent Sanctum,0,Illusion,Yes,1 action,"Concentration, 1 minute",,,,,AoE (Emanation),5-foot emanation,Invisible,,Invisibility; Advantage on saves
Aura of Life,4,Abjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Emanation),30-foot Emanation,,,Healing
Aura of Purity,4,Abjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Emanation),30-foot Emanation,Blinded; Charmed; Deafened; Frightened; Paralyzed; Poisoned; Stunned,,Advantage on saves
